CEST	NCM_LIST	DESCRIPTION
"0100100"	"['38151210', '38151290']"	"catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores"
"0100200"	"['3917']"	"tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos"
"0100300"	"['39181000']"	"protetores de caçamba"
"0100400"	"['39233000']"	"reservatórios de óleo"
"0100500"	"['39263000']"	"frisos, decalques, molduras e acabamentos"
"0100600"	"['40103', '59100000']"	"correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias"
"0100700"	"['40169300', '4823909']"	"juntas, gaxetas e outros elementos com função semelhante de vedação"
"0100800"	"['40161010']"	"partes de veículos automóveis, tratores e máquinas autopropulsadas"
"0100900"	"['40169990', '57050000']"	"tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins"
"0101000"	"['59039000']"	"tecidos impregnados, revestidos, recobertos ou estratificados, com plástico"
"0101100"	"['59090000']"	"mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias"
"0101200"	"['63061']"	"encerados e toldos"
"0101300"	"['65061000']"	"capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores"
"0101400"	"['6813']"	"guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias"
"0101500"	"['70071100', '70072100']"	"vidros de dimensões e formatos que permitam aplicação automotiva"
"0101600"	"['70091000']"	"espelhos retrovisores"
"0101700"	"['70140000']"	"lentes de faróis, lanternas e outros utensílios"
"0101800"	"['73110000']"	"cilindro de aço para gnv (gás natural veicular)"
"0101900"	"['73110000']"	"recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0"
"0102000"	"['7320']"	"molas e folhas de molas, de ferro ou aço"
"0102100"	"['7325']"	"obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00"
"0102200"	"['780600']"	"peso de chumbo para balanceamento de roda"
"0102300"	"['80070090']"	"peso para balanceamento de roda e outros utensílios de estanho"
"0102400"	"['830120', '830160']"	"fechaduras e partes de fechaduras"
"0102500"	"['830170']"	"chaves apresentadas isoladamente"
"0102600"	"['83021000', '83023000']"	"dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns"
"0102700"	"['831000']"	"triângulo de segurança"
"0102800"	"['84073']"	"motores de pistão alternativo dos tipos utilizados para propulsão de veículos do capítulo 87"
"0102900"	"['840820']"	"motores dos tipos utilizados para propulsão de veículos automotores"
"0103000"	"['84099']"	"partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408"
"0103100"	"['84122']"	"motores hidráulicos"
"0103200"	"['841330']"	"bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão"
"0103300"	"['84141000']"	"bombas de vácuo"
"0103400"	"['8414801', '8414802']"	"compressores e turbocompressores de ar"
"0103500"	"['84139190', '84149010', '8414903', '84149039']"	"partes das bombas, compressores e turbocompressores dos cest 01.032.00, 01.033.00 e 01.034.00"
"0103600"	"['841520']"	"máquinas e aparelhos de ar condicionado"
"0103700"	"['84212300']"	"aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão"
"0103800"	"['84212990']"	"filtros a vácuo"
"0103900"	"['84219']"	"partes dos aparelhos para filtrar ou depurar líquidos ou gases"
"0104000"	"['84241000']"	"extintores, mesmo carregados"
"0104100"	"['84213100']"	"filtros de entrada de ar para motores de ignição por centelha ou por compressão"
"0104200"	"['84213920']"	"depuradores por conversão catalítica de gases de escape"
"0104300"	"['84254200']"	"macacos"
"0104400"	"['84311010']"	"partes para macacos do cest 01.043.00"
"0104500"	"['8431492']"	"partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
"0104501"	"['84339090']"	"partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
"0104600"	"['84811000']"	"válvulas redutoras de pressão"
"0104700"	"['84812']"	"válvulas para transmissão óleo-hidráulicas ou pneumáticas"
"0104800"	"['84818092']"	"válvulas solenoides"
"0104900"	"['8482']"	"rolamentos"
"0105000"	"['8483']"	"árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"
"0105100"	"['8484']"	"juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
"0105200"	"['850520']"	"acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos"
"0105300"	"['850710']"	"acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no cest 01.053.01"
"0105301"	"['85071010']"	"acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 ah e tensão inferior ou igual a 12 v"
