nome	ncm	pai
animais vivos	01	secao1
carnes e miudezas, comestíveis	02	secao1
peixes e crustáceos, moluscos e outros invertebrados aquáticos	03	secao1
leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros capítulos	04	secao1
outros produtos de origem animal, não especificados nem compreendidos noutros capítulos	05	secao1
plantas vivas e produtos de floricultura	06	secao2
produtos hortícolas, plantas, raízes e tubérculos, comestíveis.	07	secao2
frutas; cascas de frutos cítricos e de melões	08	secao2
café, chá, mate e especiarias	09	secao2
cereais	10	secao2
produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo	11	secao2
sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens	12	secao2
gomas, resinas e outros sucos e extratos vegetais	13	secao2
matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros capítulos	14	secao2
gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal	15	secao3
preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos	16	secao4
açúcares e produtos de confeitaria	17	secao4
cacau e suas preparações	18	secao4
preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria	19	secao4
preparações de produtos hortícolas, de frutas ou de outras partes de plantas	20	secao4
preparações alimentícias diversas	21	secao4
bebidas, líquidos alcoólicos e vinagres	22	secao4
resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais	23	secao4
tabaco e seus sucedâneos manufaturados	24	secao4
sal; enxofre; terras e pedras; gesso, cal e cimento	25	secao5
minerios, escórias e cinzas	26	secao5
combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais	27	secao5
produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos	28	secao6
produtos químicos orgânicos	29	secao6
produtos farmacêuticos	30	secao6
adubos (fertilizantes)	31	secao6
extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever	32	secao6
óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas	33	secao6
"sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e comp"	34	secao6
matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas	35	secao6
pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis	36	secao6
produtos para fotografia e cinematografia	37	secao6
produtos diversos das indústrias químicas	38	secao6
plásticos e suas obras	39	secao7
borracha e suas obras	40	secao7
peles, exceto as peles com pelo, e couros	41	secao8
obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa	42	secao8
peles com pelo e suas obras; peles com pelo artificiais	43	secao8
madeira, carvão vegetal e obras de madeira	44	secao9
cortiça e suas obras	45	secao9
obras de espartaria ou de cestaria	46	secao9
pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).	47	secao10
papel e cartão; obras de pasta de celulose, de papel ou de cartão	48	secao10
livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas	49	secao10
seda	50	secao11
lã, pelos finos ou grosseiros; fios e tecidos de crina	51	secao11
algodão	52	secao11
outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel	53	secao11
filamentos sintéticos ou artificiais	54	secao11
fibras sintéticas ou artificiais, descontínuas	55	secao11
pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria	56	secao11
tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis	57	secao11
tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados.	58	secao11
tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis	59	secao11
tecidos de malha	60	secao11
vestuário e seus acessórios, de malha	61	secao11
vestuário e seus acessórios, exceto de malha	62	secao11
